docId,id
doc_128,1364483920507506688
doc_129,1364483690261282817
doc_130,1364483636829900802
doc_131,1364483509574893571
doc_132,1364483497151197185
doc_133,1364483370843971588
doc_134,1364483192242073600
doc_135,1364483192040775680
doc_136,1364483006770020352
doc_137,1364482905993588736
doc_138,1364482758416818178
doc_139,1364482490157699073
doc_140,1364482295894142977
doc_141,1364482237673185284
doc_142,1364482218572320770
doc_143,1364482218228334596
doc_144,1364482189954478088
doc_145,1364481848999436289
doc_146,1364481530521808896
doc_147,1364481442864975876
doc_148,1364481058725638147
doc_149,1364480780408217601
doc_150,1364480619686731776
doc_151,1364480578238615553
doc_152,1364480538111803393
doc_153,1364480498135748608
doc_154,1364480371837067269
doc_155,1364480284100550658
doc_156,1364480197974704128
doc_157,1364479083359387648
doc_158,1364479082965078019
doc_159,1364478966623518722
doc_160,1364478964392226820
doc_161,1364478929445281797
doc_162,1364478739808149506
doc_163,1364478401684402177
doc_164,1364478369690054657
doc_165,1364477625624911874
doc_166,1364477426877652992
doc_167,1364477262603591687
doc_168,1364476980075241472
doc_169,1364476904707817476
doc_170,1364476813250949122
doc_171,1364476744858673152
doc_172,1364476605423251457
doc_173,1364476450221424645
doc_174,1364476445746204672
doc_175,1364476403832479744
doc_176,1364476351852388355
doc_177,1364476215013371906
doc_178,1364475699722027010
doc_179,1364475589478998016
doc_180,1364475474026631168
doc_181,1364475471673528320
doc_182,1364475445719130119
doc_183,1364475355038437378
doc_184,1364475250801532928
doc_185,1364475075152416768
doc_186,1364475069695741955
doc_187,1364474962380091395
doc_188,1364474925881335808
doc_189,1364474721019043841
doc_190,1364474606220939266
doc_191,1364474415619002371
doc_192,1364474297050259459
doc_193,1364474237285662720
doc_194,1364474064270733315
doc_195,1364474035162157060
doc_196,1364473996578873355
doc_197,1364473940760883202
doc_198,1364473849929031680
doc_199,1364473771382333443
doc_200,1364473442209259521
doc_201,1364473019947765760
doc_202,1364472990562357250
doc_203,1364472937886015491
doc_204,1364472932903313408
doc_205,1364472452001185793
doc_206,1364472377057435649
doc_207,1364472357012844545
doc_208,1364472114690936835
doc_209,1364471919307755520
doc_210,1364471913691553795
doc_211,1364471385737760768
doc_212,1364471377667837952
doc_213,1364471322533785600
doc_214,1364471257333264384
doc_215,1364471237532090370
doc_216,1364470811524886530
doc_217,1364470765463158787
doc_218,1364470710635094021
doc_219,1364470683556700160
doc_220,1364470657560502272
doc_221,1364470453926961164
doc_222,1364470416031424515
doc_223,1364470313979760646
doc_224,1364470114356142081
doc_225,1364470109243285507
doc_226,1364470068294385664
doc_227,1364470061956812801
doc_228,1364470057141563396
doc_229,1364469892817309696
doc_230,1364469861355716608
doc_231,1364469855538343938
doc_232,1364469819223904261
doc_233,1364469812504760324
doc_234,1364469781781499905
doc_235,1364469405313302528
doc_236,1364469296982675461
doc_237,1364469283477196805
doc_238,1364469283217158148
doc_239,1364469252242214913
doc_240,1364469249847283713
doc_241,1364469246265159681
doc_242,1364469218851356672
doc_243,1364468570923687936
doc_244,1364468155259772929
doc_245,1364468115334070272
doc_246,1364468088264142850
doc_247,1364467881627373570
doc_248,1364467630011150339
doc_249,1364467597622697988
doc_250,1364467382593413123
doc_251,1364467316889505794
doc_252,1364467283423338496
doc_253,1364467153877880836
doc_254,1364466855763705856
doc_255,1364466498673246208
doc_256,1364466453286514688
doc_257,1364466361804550144
doc_258,1364466262819151872
doc_259,1364465971273080832
doc_260,1364465829501304840
doc_261,1364465558440173569
doc_262,1364465550076747778
doc_263,1364465292403904514
doc_264,1364465246962913282
doc_265,1364465084139937792
doc_266,1364464963696300033
doc_267,1364464959426424835
doc_268,1364464828123766788
doc_269,1364464812810399744
doc_270,1364464764433227776
doc_271,1364464752634724353
doc_272,1364464563559620608
doc_273,1364464499156160513
doc_274,1364464324928921601
doc_275,1364464303693172741
doc_276,1364464229286359041
doc_277,1364464094976364548
doc_278,1364463971105787905
doc_279,1364463966164983810
doc_280,1364463799382679556
doc_281,1364463640267526144
doc_282,1364463621804158976
doc_283,1364463541504274433
doc_284,1364463479843811329
doc_285,1364463244719525896
doc_286,1364463044072456194
doc_287,1364462916410298369
